key_1	key_2	generic_mashup_csv1.txt_3	generic_mashup_csv2.txt_3
chr1	50	left_0.0785491199503703	.
chr1	150	left_0.885462443848279	.
chr1	200	left_0.746373670032831	.
chr1	250	.	right_0.478797736240342
chr1	300	left_0.526624087928198	right_0.977325296713374
chr1	350	left_0.48727309624368	.
chr1	450	left_0.772470192742194	.
chr1	500	left_0.740891778202013	right_0.46939357678707
chr1	550	left_0.259022074069247	right_0.942927401761875
chr1	600	.	right_0.132122189961116
chr1	650	left_0.163120387152038	right_0.173162438005409
chr1	700	left_0.942471714073477	right_0.33986497236198
chr1	750	left_0.853021092087598	.
chr1	800	left_0.163193039916329	.
chr1	850	.	right_0.997703559901144
chr1	900	.	right_0.556191841023093
chr1	950	.	right_0.816630174004285
chr1	1000	.	right_0.241030504767885
